# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "Name" "-a" "NCTC8325.gff3.gz" "-o" "counts.tsv" "SRR935091.sorted.bam" "SRR935090.sorted.bam" "SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR935091.sorted.bam	SRR935090.sorted.bam	SRR935092.sorted.bam
ABD29192-1	Chromosome	517	1878	+	1362	5	12	14
ABD29193-1	Chromosome	2156	3289	+	1134	1	15	19
ABD29194-1	Chromosome	3670	3915	+	246	0	1	3
ABD29195-1	Chromosome	3912	5024	+	1113	1	5	7
ABD29196-1	Chromosome	5034	6968	+	1935	4	12	21
ABD29197-1	Chromosome	7005	9668	+	2664	10	27	41
ABD29198-1	Chromosome	9755	10456	-	702	0	4	2
ABD29199-1	Chromosome	10893	12407	+	1515	0	1	1
ABD29200-1	Chromosome	12786	14072	+	1287	2	8	14
ABD29201-1	Chromosome	14722	15417	+	696	0	0	1
ABD29202-1	Chromosome	15414	15743	+	330	0	0	0
ABD29203-1	Chromosome	16106	17074	+	969	0	1	0
ABD29204-1	Chromosome	17365	18303	+	939	1	3	8
ABD29205-1	Chromosome	18318	20285	+	1968	13	17	31
ABD29206-1	Chromosome	20282	20734	+	453	1	8	8
ABD29207-1	Chromosome	20766	22166	+	1401	7	9	20
ABD29208-1	Chromosome	22444	23727	+	1284	3	35	16
EBG00001047422-1	Chromosome	24157	24228	-	72	0	0	0
SAOUHSC_T00018-1	Chromosome	24157	24231	+	75	0	0	0
EBG00001047208-1	Chromosome	24239	24311	-	73	0	0	0
SAOUHSC_T00011-1	Chromosome	24239	24311	+	73	0	0	0
ABD29209-1	Chromosome	24931	25632	+	702	1	0	6
ABD29210-1	Chromosome	25645	27471	+	1827	2	2	9
ABD29211-1	Chromosome	27515	28798	+	1284	1	3	13
ABD29212-1	Chromosome	28799	29587	+	789	3	6	3
ABD29213-1	Chromosome	29977	30777	+	801	0	2	2
ABD29214-1	Chromosome	31005	33323	+	2319	3	2	3
ABD29215-1	Chromosome	33555	34034	-	480	0	0	0
ABD29216-1	Chromosome	33691	34170	+	480	0	0	1
ABD29217-1	Chromosome	34375	34509	-	135	0	0	0
ABD29218-1	Chromosome	34473	34565	+	93	0	0	0
ABD29219-1	Chromosome	34712	36457	+	1746	4	4	7
ABD29220-1	Chromosome	36551	37003	-	453	0	3	0
ABD29221-1	Chromosome	37019	37120	-	102	0	0	0
ABD29222-1	Chromosome	37218	37973	-	756	2	1	0
ABD29223-1	Chromosome	37973	38233	-	261	0	0	0
ABD29224-1	Chromosome	38370	39437	+	1068	0	0	0
ABD29225-1	Chromosome	39468	40802	+	1335	0	0	1
ABD29226-1	Chromosome	40821	42014	+	1194	0	0	1
ABD29227-1	Chromosome	42281	42382	-	102	2	0	0
ABD29228-1	Chromosome	42681	43613	-	933	10	1	9
ABD29229-1	Chromosome	43976	44179	+	204	0	0	0
ABD29230-1	Chromosome	44228	44524	+	297	0	0	0
ABD29231-1	Chromosome	44596	45816	-	1221	1	1	0
ABD29232-1	Chromosome	45809	46360	-	552	0	1	0
ABD29233-1	Chromosome	46473	47333	+	861	2	1	3
ABD29234-1	Chromosome	47689	48222	-	534	0	0	0
ABD29235-1	Chromosome	48313	49056	+	744	1	0	1
ABD29236-1	Chromosome	49490	50092	+	603	0	0	2
ABD29237-1	Chromosome	50359	53511	+	3153	3	0	4
ABD29238-1	Chromosome	53568	54050	+	483	0	0	1
ABD29239-1	Chromosome	54255	55241	+	987	0	0	0
ABD29240-1	Chromosome	55462	56232	+	771	0	0	0
ABD29241-1	Chromosome	56284	57054	+	771	0	0	1
ABD29242-1	Chromosome	57118	57888	+	771	2	0	0
ABD29243-1	Chromosome	57955	58722	+	768	0	0	1
ABD29244-1	Chromosome	58855	61053	+	2199	4	2	8
ABD29245-1	Chromosome	61204	62382	+	1179	1	0	0
ABD29246-1	Chromosome	62384	63772	+	1389	1	1	1
ABD29247-1	Chromosome	64265	65926	-	1662	7	5	7
ABD29248-1	Chromosome	66252	68027	-	1776	2	0	3
ABD29249-1	Chromosome	68201	69073	-	873	1	0	0
ABD29250-1	Chromosome	69186	70583	+	1398	0	0	2
ABD29251-1	Chromosome	70773	71246	+	474	0	0	0
ABD29252-1	Chromosome	71508	73100	+	1593	3	8	22
ABD29253-1	Chromosome	73429	74979	-	1551	17	229	33
ABD29254-1	Chromosome	75400	76152	-	753	0	9	4
ABD29255-1	Chromosome	76521	77435	-	915	0	3	0
ABD29256-1	Chromosome	77516	78511	-	996	0	0	2
ABD29257-1	Chromosome	78527	79519	-	993	0	3	12
ABD29258-1	Chromosome	79885	80730	+	846	0	0	0
ABD29259-1	Chromosome	80727	81737	+	1011	0	0	0
ABD29260-1	Chromosome	81758	83512	+	1755	0	0	0
ABD29261-1	Chromosome	83505	84761	+	1257	0	0	0
ABD29262-1	Chromosome	84751	86487	+	1737	0	0	0
ABD29263-1	Chromosome	86396	88246	+	1851	1	0	0
ABD29264-1	Chromosome	88221	88997	+	777	0	0	0
ABD29265-1	Chromosome	88997	90199	+	1203	2	1	1
ABD29266-1	Chromosome	90203	90967	+	765	0	0	0
ABD32038-1	Chromosome	90905	91096	-	192	0	0	0
ABD29267-1	Chromosome	91163	91570	+	408	0	0	0
ABD29268-1	Chromosome	91620	92246	+	627	0	0	0
ABD29269-1	Chromosome	92458	93234	+	777	0	0	1
ABD29270-1	Chromosome	93378	93500	+	123	0	0	0
ABD29271-1	Chromosome	93570	94550	+	981	0	0	0
ABD29272-1	Chromosome	94513	95205	+	693	0	0	0
ABD29273-1	Chromosome	95415	96581	+	1167	0	0	2
ABD29274-1	Chromosome	96562	97800	+	1239	0	0	0
ABD29275-1	Chromosome	97790	99220	+	1431	1	1	2
ABD29276-1	Chromosome	99488	100087	+	600	1	7	17
ABD29277-1	Chromosome	100455	101054	+	600	0	1	1
ABD29278-1	Chromosome	101370	102125	-	756	0	2	2
ABD32039-1	Chromosome	102228	102452	-	225	0	0	0
ABD29279-1	Chromosome	102361	103068	+	708	0	0	0
ABD29280-1	Chromosome	103075	104427	+	1353	2	0	0
ABD29281-1	Chromosome	104508	105170	+	663	2	2	4
ABD29282-1	Chromosome	105198	106376	+	1179	0	8	16
ABD29283-1	Chromosome	106507	107322	-	816	0	0	0
ABD29284-1	Chromosome	107319	108119	-	801	0	0	0
ABD29285-1	Chromosome	108121	108894	-	774	1	0	0
ABD29286-1	Chromosome	109108	110064	-	957	0	0	0
ABD29287-1	Chromosome	110293	111837	+	1545	0	0	0
ABD29288-1	Chromosome	111888	113423	+	1536	1	0	1
ABD29289-1	Chromosome	113507	113710	+	204	0	0	0
ABD29290-1	Chromosome	114083	114568	+	486	0	0	0
ABD29291-1	Chromosome	114553	114843	+	291	0	0	0
ABD29292-1	Chromosome	114927	115214	+	288	0	0	0
